Timestamp,User_ID,Application,Signal_Str,Latency,Required_,Allocated_,Resource_Allocation
1,User_86,Online_Gaming,-41 dBm,11 ms,2.00 Mbps,1.54 Mbps,77%
1,User_87,Background,-43 dBm,12 ms,0.80 Mbps,0.60 Mbps,75%
1,User_88,Web_Browsing,-38 dBm,10 ms,1.20 Mbps,0.90 Mbps,75%
1,User_89,IoT_Temp,-33 dBm,7 ms,0.10 Mbps,0.09 Mbps,89%
1,User_90,Video_Streaming,-39 dBm,11 ms,2.00 Mbps,1.49 Mbps,74%
2,User_1,Emergency,-48 dBm,13 ms,5.00 Mbps,2.22 Mbps,44%
2,User_2,Video_Call,-45 dBm,10 ms,3.00 Mbps,2.51 Mbps,84%
2,User_3,Voice_Call,-46 dBm,11 ms,1.50 Mbps,1.31 Mbps,87%
2,User_4,Streaming,-39 dBm,10 ms,2.50 Mbps,1.96 Mbps,78%
2,User_5,Online_Gaming,-42 dBm,13 ms,2.00 Mbps,1.77 Mbps,88%
2,User_6,Background,-41 dBm,10 ms,0.80 Mbps,0.71 Mbps,89%
2,User_7,Web_Browsing,-37 dBm,11 ms,1.20 Mbps,0.86 Mbps,72%
2,User_8,IoT_Temp,-41 dBm,9 ms,0.10 Mbps,0.07 Mbps,74%
2,User_9,Video_Streaming,-42 dBm,10 ms,2.00 Mbps,1.76 Mbps,88%
2,User_10,Emergency,-52 dBm,12 ms,5.00 Mbps,2.19 Mbps,44%
2,User_11,Video_Call,-40 dBm,9 ms,3.00 Mbps,2.31 Mbps,77%
2,User_12,Voice_Call,-47 dBm,12 ms,1.50 Mbps,1.22 Mbps,81%
2,User_13,Streaming,-36 dBm,10 ms,2.50 Mbps,1.90 Mbps,76%
2,User_14,Online_Gaming,-46 dBm,14 ms,2.00 Mbps,1.41 Mbps,70%
2,User_15,Background,-48 dBm,12 ms,0.80 Mbps,0.71 Mbps,89%
2,User_16,Web_Browsing,-46 dBm,15 ms,1.20 Mbps,0.85 Mbps,70%
2,User_17,IoT_Temp,-43 dBm,14 ms,0.10 Mbps,0.08 Mbps,78%
2,User_18,Video_Streaming,-37 dBm,10 ms,2.00 Mbps,1.69 Mbps,85%
2,User_19,Emergency,-44 dBm,12 ms,5.00 Mbps,3.10 Mbps,62%
2,User_20,Video_Call,-34 dBm,9 ms,3.00 Mbps,2.48 Mbps,83%
2,User_21,Voice_Call,-40 dBm,10 ms,1.50 Mbps,1.34 Mbps,90%
2,User_22,Streaming,-39 dBm,13 ms,2.50 Mbps,1.80 Mbps,72%
2,User_23,Online_Gaming,-47 dBm,14 ms,2.00 Mbps,1.75 Mbps,87%
2,User_24,Background,-48 dBm,13 ms,0.80 Mbps,0.68 Mbps,85%
2,User_25,Web_Browsing,-34 dBm,10 ms,1.20 Mbps,0.87 Mbps,73%
2,User_26,IoT_Temp,-35 dBm,11 ms,0.10 Mbps,0.09 Mbps,88%
2,User_27,Video_Streaming,-35 dBm,9 ms,2.00 Mbps,1.60 Mbps,80%
2,User_28,Emergency,-36 dBm,9 ms,5.00 Mbps,3.96 Mbps,79%
2,User_29,Video_Call,-47 dBm,13 ms,3.00 Mbps,2.41 Mbps,80%
2,User_30,Voice_Call,-42 dBm,12 ms,1.50 Mbps,1.16 Mbps,77%
2,User_31,Streaming,-38 dBm,9 ms,2.50 Mbps,1.79 Mbps,72%
2,User_32,Online_Gaming,-38 dBm,10 ms,2.00 Mbps,1.51 Mbps,75%
2,User_33,Background,-37 dBm,10 ms,0.80 Mbps,0.57 Mbps,71%
2,User_34,Web_Browsing,-37 dBm,12 ms,1.20 Mbps,0.88 Mbps,74%
2,User_35,IoT_Temp,-43 dBm,13 ms,0.10 Mbps,0.07 Mbps,72%
2,User_36,Video_Streaming,-38 dBm,11 ms,2.00 Mbps,1.70 Mbps,85%
2,User_37,Emergency,-35 dBm,10 ms,5.00 Mbps,3.96 Mbps,79%
2,User_38,Video_Call,-36 dBm,12 ms,3.00 Mbps,2.25 Mbps,75%
2,User_39,Voice_Call,-51 dBm,15 ms,1.50 Mbps,1.27 Mbps,85%
2,User_40,Streaming,-34 dBm,11 ms,2.50 Mbps,2.09 Mbps,83%
2,User_41,Online_Gaming,-34 dBm,11 ms,2.00 Mbps,1.40 Mbps,70%
2,User_42,Background,-42 dBm,10 ms,0.80 Mbps,0.65 Mbps,81%
2,User_43,Web_Browsing,-39 dBm,10 ms,1.20 Mbps,0.99 Mbps,82%
2,User_44,IoT_Temp,-44 dBm,10 ms,0.10 Mbps,0.08 Mbps,82%
2,User_45,Video_Streaming,-44 dBm,14 ms,2.00 Mbps,1.45 Mbps,73%
2,User_46,Emergency,-35 dBm,9 ms,5.00 Mbps,3.63 Mbps,73%
2,User_47,Video_Call,-39 dBm,9 ms,3.00 Mbps,2.47 Mbps,82%
2,User_48,Voice_Call,-33 dBm,11 ms,1.50 Mbps,1.27 Mbps,85%
2,User_49,Streaming,-44 dBm,10 ms,2.50 Mbps,1.98 Mbps,79%
2,User_50,Online_Gaming,-42 dBm,12 ms,2.00 Mbps,1.54 Mbps,77%
2,User_51,Background,-51 dBm,12 ms,0.80 Mbps,0.67 Mbps,83%
2,User_52,Web_Browsing,-34 dBm,10 ms,1.20 Mbps,0.93 Mbps,78%
2,User_53,IoT_Temp,-39 dBm,11 ms,0.10 Mbps,0.08 Mbps,81%
2,User_54,Video_Streaming,-39 dBm,9 ms,2.00 Mbps,1.49 Mbps,75%
2,User_55,Emergency,-34 dBm,9 ms,5.00 Mbps,3.81 Mbps,76%
2,User_56,Video_Call,-36 dBm,12 ms,3.00 Mbps,2.61 Mbps,87%
2,User_57,Voice_Call,-35 dBm,12 ms,1.50 Mbps,1.31 Mbps,87%
2,User_58,Streaming,-41 dBm,10 ms,2.50 Mbps,1.94 Mbps,78%
2,User_59,Online_Gaming,-39 dBm,9 ms,2.00 Mbps,1.71 Mbps,85%
2,User_60,Background,-44 dBm,11 ms,0.80 Mbps,0.59 Mbps,74%
2,User_61,Web_Browsing,-35 dBm,11 ms,1.20 Mbps,0.89 Mbps,74%
2,User_62,IoT_Temp,-41 dBm,9 ms,0.10 Mbps,0.09 Mbps,89%
2,User_63,Video_Streaming,-48 dBm,15 ms,2.00 Mbps,1.75 Mbps,87%
2,User_64,Emergency,-34 dBm,7 ms,5.00 Mbps,3.82 Mbps,76%
2,User_65,Video_Call,-51 dBm,16 ms,3.00 Mbps,2.01 Mbps,67%
2,User_66,Voice_Call,-41 dBm,10 ms,1.50 Mbps,1.14 Mbps,76%
2,User_67,Streaming,-43 dBm,11 ms,2.50 Mbps,1.96 Mbps,78%
2,User_68,Online_Gaming,-45 dBm,10 ms,2.00 Mbps,1.78 Mbps,89%
2,User_69,Background,-34 dBm,10 ms,0.80 Mbps,0.66 Mbps,83%
2,User_70,Web_Browsing,-39 dBm,13 ms,1.20 Mbps,0.87 Mbps,73%
2,User_71,IoT_Temp,-39 dBm,11 ms,0.10 Mbps,0.08 Mbps,81%
2,User_72,Video_Streaming,-45 dBm,11 ms,2.00 Mbps,1.66 Mbps,83%
2,User_73,Emergency,-33 dBm,9 ms,5.00 Mbps,4.25 Mbps,85%
2,User_74,Video_Call,-44 dBm,13 ms,3.00 Mbps,2.28 Mbps,76%
2,User_75,Voice_Call,-39 dBm,13 ms,1.50 Mbps,1.28 Mbps,85%
2,User_76,Streaming,-39 dBm,13 ms,2.50 Mbps,2.06 Mbps,82%
2,User_77,Online_Gaming,-35 dBm,9 ms,2.00 Mbps,1.46 Mbps,73%
2,User_78,Background,-48 dBm,16 ms,0.80 Mbps,0.67 Mbps,84%
2,User_79,Web_Browsing,-38 dBm,11 ms,1.20 Mbps,0.88 Mbps,74%
2,User_80,IoT_Temp,-44 dBm,11 ms,0.10 Mbps,0.09 Mbps,88%
2,User_81,Video_Streaming,-40 dBm,12 ms,2.00 Mbps,1.75 Mbps,87%
2,User_82,Emergency,-36 dBm,9 ms,5.00 Mbps,4.01 Mbps,80%
2,User_83,Video_Call,-31 dBm,10 ms,3.00 Mbps,2.63 Mbps,88%
2,User_84,Voice_Call,-46 dBm,11 ms,1.50 Mbps,1.13 Mbps,75%
2,User_85,Streaming,-48 dBm,16 ms,2.50 Mbps,2.23 Mbps,89%
2,User_86,Online_Gaming,-37 dBm,8 ms,2.00 Mbps,1.52 Mbps,76%
2,User_87,Background,-33 dBm,7 ms,0.80 Mbps,0.65 Mbps,81%
2,User_88,Web_Browsing,-47 dBm,13 ms,1.20 Mbps,0.89 Mbps,74%
2,User_89,IoT_Temp,-43 dBm,11 ms,0.10 Mbps,0.07 Mbps,72%
2,User_90,Video_Streaming,-36 dBm,8 ms,2.00 Mbps,1.47 Mbps,74%
3,User_1,Emergency,-49 dBm,14 ms,5.00 Mbps,2.20 Mbps,44%
3,User_2,Video_Call,-42 dBm,10 ms,3.00 Mbps,2.63 Mbps,88%
3,User_3,Voice_Call,-44 dBm,10 ms,1.50 Mbps,1.18 Mbps,79%
3,User_4,Streaming,-33 dBm,8 ms,2.50 Mbps,2.19 Mbps,88%
3,User_5,Online_Gaming,-40 dBm,13 ms,2.00 Mbps,1.40 Mbps,70%
3,User_6,Background,-32 dBm,9 ms,0.80 Mbps,0.63 Mbps,78%
3,User_7,Web_Browsing,-34 dBm,7 ms,1.20 Mbps,0.94 Mbps,79%
3,User_8,IoT_Temp,-39 dBm,11 ms,0.10 Mbps,0.09 Mbps,88%
3,User_9,Video_Streaming,-39 dBm,10 ms,2.00 Mbps,1.79 Mbps,89%
3,User_10,Emergency,-50 dBm,14 ms,5.00 Mbps,2.35 Mbps,47%
3,User_11,Video_Call,-46 dBm,12 ms,3.00 Mbps,2.17 Mbps,72%
3,User_12,Voice_Call,-55 dBm,18 ms,1.50 Mbps,1.27 Mbps,85%
3,User_13,Streaming,-43 dBm,13 ms,2.50 Mbps,1.95 Mbps,78%
3,User_14,Online_Gaming,-44 dBm,13 ms,2.00 Mbps,1.57 Mbps,78%
3,User_15,Background,-49 dBm,16 ms,0.80 Mbps,0.65 Mbps,81%
3,User_16,Web_Browsing,-55 dBm,15 ms,1.20 Mbps,0.86 Mbps,71%
3,User_17,IoT_Temp,-53 dBm,17 ms,0.10 Mbps,0.08 Mbps,83%
3,User_18,Video_Streaming,-45 dBm,12 ms,2.00 Mbps,1.68 Mbps,84%
3,User_19,Emergency,-53 dBm,14 ms,5.00 Mbps,1.80 Mbps,36%
3,User_20,Video_Call,-36 dBm,9 ms,3.00 Mbps,2.17 Mbps,72%
3,User_21,Voice_Call,-40 dBm,13 ms,1.50 Mbps,1.29 Mbps,86%
3,User_22,Streaming,-43 dBm,12 ms,2.50 Mbps,1.94 Mbps,78%
3,User_23,Online_Gaming,-48 dBm,15 ms,2.00 Mbps,1.44 Mbps,72%
3,User_24,Background,-39 dBm,9 ms,0.80 Mbps,0.59 Mbps,74%
3,User_25,Web_Browsing,-39 dBm,10 ms,1.20 Mbps,1.08 Mbps,90%
3,User_26,IoT_Temp,-43 dBm,11 ms,0.10 Mbps,0.07 Mbps,71%
3,User_27,Video_Streaming,-33 dBm,7 ms,2.00 Mbps,1.54 Mbps,77%
3,User_28,Emergency,-42 dBm,14 ms,5.00 Mbps,2.87 Mbps,57%
3,User_29,Video_Call,-50 dBm,12 ms,3.00 Mbps,1.75 Mbps,58%
3,User_30,Voice_Call,-41 dBm,13 ms,1.50 Mbps,1.35 Mbps,90%
3,User_31,Streaming,-37 dBm,12 ms,2.50 Mbps,2.23 Mbps,89%
3,User_32,Online_Gaming,-35 dBm,9 ms,2.00 Mbps,1.50 Mbps,75%
3,User_33,Background,-33 dBm,8 ms,0.80 Mbps,0.70 Mbps,88%
3,User_34,Web_Browsing,-45 dBm,15 ms,1.20 Mbps,0.99 Mbps,83%
3,User_35,IoT_Temp,-42 dBm,11 ms,0.10 Mbps,0.07 Mbps,72%
3,User_36,Video_Streaming,-48 dBm,12 ms,2.00 Mbps,1.70 Mbps,85%
3,User_37,Emergency,-37 dBm,11 ms,5.00 Mbps,3.66 Mbps,73%
3,User_38,Video_Call,-41 dBm,13 ms,3.00 Mbps,2.38 Mbps,79%
3,User_39,Voice_Call,-55 dBm,15 ms,1.50 Mbps,1.23 Mbps,82%
3,User_40,Streaming,-44 dBm,13 ms,2.50 Mbps,1.76 Mbps,70%
3,User_41,Online_Gaming,-41 dBm,9 ms,2.00 Mbps,1.42 Mbps,71%
3,User_42,Background,-43 dBm,10 ms,0.80 Mbps,0.57 Mbps,71%
3,User_43,Web_Browsing,-38 dBm,12 ms,1.20 Mbps,0.86 Mbps,72%
3,User_44,IoT_Temp,-52 dBm,15 ms,0.10 Mbps,0.09 Mbps,89%
3,User_45,Video_Streaming,-42 dBm,12 ms,2.00 Mbps,1.48 Mbps,74%
3,User_46,Emergency,-32 dBm,11 ms,5.00 Mbps,4.51 Mbps,90%
3,User_47,Video_Call,-51 dBm,15 ms,3.00 Mbps,1.59 Mbps,53%
3,User_48,Voice_Call,-44 dBm,11 ms,1.50 Mbps,1.06 Mbps,71%
3,User_49,Streaming,-50 dBm,14 ms,2.50 Mbps,2.13 Mbps,85%
3,User_50,Online_Gaming,-45 dBm,12 ms,2.00 Mbps,1.58 Mbps,79%
3,User_51,Background,-60 dBm,18 ms,0.80 Mbps,0.59 Mbps,74%
3,User_52,Web_Browsing,-44 dBm,13 ms,1.20 Mbps,0.92 Mbps,76%
3,User_53,IoT_Temp,-35 dBm,11 ms,0.10 Mbps,0.08 Mbps,77%
3,User_54,Video_Streaming,-37 dBm,8 ms,2.00 Mbps,1.43 Mbps,72%
3,User_55,Emergency,-42 dBm,13 ms,5.00 Mbps,3.25 Mbps,65%
3,User_56,Video_Call,-36 dBm,9 ms,3.00 Mbps,2.18 Mbps,73%
3,User_57,Voice_Call,-40 dBm,9 ms,1.50 Mbps,1.32 Mbps,88%
3,User_58,Streaming,-31 dBm,7 ms,2.50 Mbps,2.13 Mbps,85%
3,User_59,Online_Gaming,-46 dBm,13 ms,2.00 Mbps,1.72 Mbps,86%
3,User_60,Background,-38 dBm,9 ms,0.80 Mbps,0.64 Mbps,80%
3,User_61,Web_Browsing,-33 dBm,11 ms,1.20 Mbps,1.02 Mbps,85%
3,User_62,IoT_Temp,-52 dBm,17 ms,0.10 Mbps,0.08 Mbps,81%
3,User_63,Video_Streaming,-56 dBm,17 ms,2.00 Mbps,1.49 Mbps,74%
3,User_64,Emergency,-34 dBm,10 ms,5.00 Mbps,3.70 Mbps,74%
3,User_65,Video_Call,-45 dBm,10 ms,3.00 Mbps,2.55 Mbps,85%
3,User_66,Voice_Call,-32 dBm,7 ms,1.50 Mbps,1.34 Mbps,90%
3,User_67,Streaming,-51 dBm,15 ms,2.50 Mbps,2.03 Mbps,81%
3,User_68,Online_Gaming,-36 dBm,9 ms,2.00 Mbps,1.69 Mbps,85%
3,User_69,Background,-32 dBm,11 ms,0.80 Mbps,0.63 Mbps,78%
3,User_70,Web_Browsing,-51 dBm,14 ms,1.20 Mbps,0.98 Mbps,82%
3,User_71,IoT_Temp,-46 dBm,14 ms,0.10 Mbps,0.08 Mbps,82%
3,User_72,Video_Streaming,-54 dBm,14 ms,2.00 Mbps,1.70 Mbps,85%
3,User_73,Emergency,-41 dBm,12 ms,5.00 Mbps,3.11 Mbps,62%
3,User_74,Video_Call,-46 dBm,13 ms,3.00 Mbps,2.14 Mbps,71%
3,User_75,Voice_Call,-47 dBm,11 ms,1.50 Mbps,1.25 Mbps,83%
3,User_76,Streaming,-49 dBm,12 ms,2.50 Mbps,1.85 Mbps,74%
3,User_77,Online_Gaming,-40 dBm,13 ms,2.00 Mbps,1.64 Mbps,82%
3,User_78,Background,-54 dBm,16 ms,0.80 Mbps,0.71 Mbps,89%
3,User_79,Web_Browsing,-43 dBm,14 ms,1.20 Mbps,1.02 Mbps,85%
3,User_80,IoT_Temp,-38 dBm,11 ms,0.10 Mbps,0.08 Mbps,75%
3,User_81,Video_Streaming,-36 dBm,10 ms,2.00 Mbps,1.51 Mbps,75%
3,User_82,Emergency,-36 dBm,9 ms,5.00 Mbps,3.63 Mbps,73%
3,User_83,Video_Call,-41 dBm,12 ms,3.00 Mbps,2.36 Mbps,79%
3,User_84,Voice_Call,-35 dBm,10 ms,1.50 Mbps,1.11 Mbps,74%
3,User_85,Streaming,-51 dBm,15 ms,2.50 Mbps,2.01 Mbps,80%
3,User_86,Online_Gaming,-45 dBm,11 ms,2.00 Mbps,1.80 Mbps,90%
3,User_87,Background,-42 dBm,12 ms,0.80 Mbps,0.72 Mbps,89%
3,User_88,Web_Browsing,-52 dBm,17 ms,1.20 Mbps,0.85 Mbps,71%
3,User_89,IoT_Temp,-40 dBm,11 ms,0.10 Mbps,0.08 Mbps,76%
3,User_90,Video_Streaming,-38 dBm,8 ms,2.00 Mbps,1.75 Mbps,87%
4,User_1,Emergency,-48 dBm,15 ms,5.00 Mbps,2.30 Mbps,46%
4,User_2,Video_Call,-49 dBm,12 ms,3.00 Mbps,2.14 Mbps,71%
4,User_3,Voice_Call,-49 dBm,14 ms,1.50 Mbps,1.35 Mbps,90%
4,User_4,Streaming,-33 dBm,7 ms,2.50 Mbps,1.81 Mbps,72%
4,User_5,Online_Gaming,-48 dBm,15 ms,2.00 Mbps,1.75 Mbps,88%
4,User_6,Background,-43 dBm,11 ms,0.80 Mbps,0.64 Mbps,80%
4,User_7,Web_Browsing,-38 dBm,8 ms,1.20 Mbps,0.99 Mbps,83%
4,User_8,IoT_Temp,-51 dBm,15 ms,0.10 Mbps,0.08 Mbps,84%
4,User_9,Video_Streaming,-41 dBm,13 ms,2.00 Mbps,1.71 Mbps,85%
4,User_10,Emergency,-51 dBm,12 ms,5.00 Mbps,1.94 Mbps,39%
4,User_11,Video_Call,-40 dBm,11 ms,3.00 Mbps,2.29 Mbps,76%
4,User_12,Voice_Call,-55 dBm,15 ms,1.50 Mbps,1.06 Mbps,70%
4,User_13,Streaming,-39 dBm,9 ms,2.50 Mbps,2.23 Mbps,89%
4,User_14,Online_Gaming,-36 dBm,9 ms,2.00 Mbps,1.60 Mbps,80%
4,User_15,Background,-49 dBm,13 ms,0.80 Mbps,0.67 Mbps,83%
4,User_16,Web_Browsing,-52 dBm,15 ms,1.20 Mbps,1.05 Mbps,88%
4,User_17,IoT_Temp,-54 dBm,14 ms,0.10 Mbps,0.08 Mbps,84%
4,User_18,Video_Streaming,-51 dBm,14 ms,2.00 Mbps,1.42 Mbps,71%
4,User_19,Emergency,-49 dBm,15 ms,5.00 Mbps,2.24 Mbps,45%
4,User_20,Video_Call,-34 dBm,7 ms,3.00 Mbps,2.38 Mbps,79%
4,User_21,Voice_Call,-45 dBm,13 ms,1.50 Mbps,1.28 Mbps,86%
4,User_22,Streaming,-45 dBm,15 ms,2.50 Mbps,1.96 Mbps,79%
4,User_23,Online_Gaming,-49 dBm,14 ms,2.00 Mbps,1.65 Mbps,83%
4,User_24,Background,-46 dBm,14 ms,0.80 Mbps,0.63 Mbps,78%
4,User_25,Web_Browsing,-45 dBm,12 ms,1.20 Mbps,0.92 Mbps,76%
4,User_26,IoT_Temp,-42 dBm,12 ms,0.10 Mbps,0.08 Mbps,83%
4,User_27,Video_Streaming,-38 dBm,11 ms,2.00 Mbps,1.54 Mbps,77%
4,User_28,Emergency,-34 dBm,9 ms,5.00 Mbps,4.21 Mbps,84%
4,User_29,Video_Call,-54 dBm,13 ms,3.00 Mbps,1.44 Mbps,48%
4,User_30,Voice_Call,-35 dBm,8 ms,1.50 Mbps,1.29 Mbps,86%
4,User_31,Streaming,-40 dBm,12 ms,2.50 Mbps,1.95 Mbps,78%
4,User_32,Online_Gaming,-39 dBm,10 ms,2.00 Mbps,1.80 Mbps,90%
4,User_33,Background,-36 dBm,10 ms,0.80 Mbps,0.56 Mbps,70%
4,User_34,Web_Browsing,-57 dBm,18 ms,1.20 Mbps,0.98 Mbps,82%
4,User_35,IoT_Temp,-46 dBm,15 ms,0.10 Mbps,0.09 Mbps,86%
4,User_36,Video_Streaming,-54 dBm,13 ms,2.00 Mbps,1.52 Mbps,76%
